Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71888111,0,"Saturday, November 17, 2012 12:07:13 UTC",38.8487,-122.8240,1.1,1.60,16,"Northern California"
pr,12322001,0,"Saturday, November 17, 2012 10:51:13 UTC",18.1205,-66.5392,2.0,6.00, 4,"Puerto Rico"
nc,71888071,0,"Saturday, November 17, 2012 10:44:07 UTC",38.8227,-122.8178,1.4,0.60,10,"Northern California"
us,c000du6s,6,"Saturday, November 17, 2012 10:13:48 UTC",13.1918,-92.0067,4.4,35.00,42,"off the coast of Guatemala"
ci,11204978,0,"Saturday, November 17, 2012 09:36:52 UTC",33.6835,-116.7165,1.0,16.80,34,"Southern California"
us,c000du6g,6,"Saturday, November 17, 2012 09:09:35 UTC",-18.8897,-68.9931,4.7,115.70,161,"Tarapaca, Chile"
us,c000du6f,5,"Saturday, November 17, 2012 09:06:26 UTC",-22.2351,171.6432,5.1,115.10,89,"southeast of the Loyalty Islands"
ak,10601819,2,"Saturday, November 17, 2012 08:56:39 UTC",56.0188,-152.7403,3.4,8.10,15,"Kodiak Island region, Alaska"
nc,71888046,0,"Saturday, November 17, 2012 08:41:16 UTC",37.9408,-122.1205,1.1,8.00,10,"San Francisco Bay area, California"
ak,10601813,1,"Saturday, November 17, 2012 08:11:49 UTC",61.3636,-147.1561,1.8,31.10,10,"Southern Alaska"
ak,10601803,1,"Saturday, November 17, 2012 07:10:32 UTC",59.8381,-152.8581,2.5,114.90,30,"Southern Alaska"
ak,10601800,1,"Saturday, November 17, 2012 07:02:39 UTC",63.0806,-149.8242,1.5,89.60, 4,"Central Alaska"
ci,11204946,0,"Saturday, November 17, 2012 07:02:36 UTC",33.4465,-116.5660,1.1,17.60,22,"Southern California"
us,c000du5l,5,"Saturday, November 17, 2012 06:47:44 UTC",13.9738,-92.4835,4.5,34.70,139,"offshore Guatemala"
ci,11204938,0,"Saturday, November 17, 2012 06:12:20 UTC",33.2747,-116.8075,1.0,4.00,26,"Southern California"
ci,11204930,0,"Saturday, November 17, 2012 06:11:54 UTC",33.9958,-116.7780,1.5,20.80,32,"Southern California"
nc,71888021,0,"Saturday, November 17, 2012 05:53:14 UTC",37.4870,-118.8372,1.4,2.40, 7,"Central California"
pr,12322000,0,"Saturday, November 17, 2012 05:47:55 UTC",18.0235,-65.4128,2.7,19.00, 8,"Puerto Rico region"
us,c000du4e,7,"Saturday, November 17, 2012 05:29:45 UTC",-20.2516,-178.4418,5.0,583.80,199,"Fiji region"
us,c000du43,A,"Saturday, November 17, 2012 05:12:56 UTC",-18.3108,-172.3741,6.1,9.80,479,"Tonga region"
us,c000du3p,7,"Saturday, November 17, 2012 04:49:00 UTC",36.2617,-97.5142,3.0,5.00,13,"Oklahoma"
nc,71887991,1,"Saturday, November 17, 2012 04:44:43 UTC",38.8210,-122.8240,1.6,2.70,24,"Northern California"
nc,71887986,0,"Saturday, November 17, 2012 04:39:41 UTC",38.8323,-122.8063,1.0,0.30,10,"Northern California"
ci,11204906,0,"Saturday, November 17, 2012 04:36:12 UTC",33.4832,-116.7048,1.6,10.50,19,"Southern California"
us,c000du3n,8,"Saturday, November 17, 2012 04:35:58 UTC",10.8291,-84.8940,4.7,172.00,73,"Costa Rica"
ci,11204898,0,"Saturday, November 17, 2012 04:33:46 UTC",34.0618,-117.2573,1.3,18.00,28,"Greater Los Angeles area, California"
ak,10601762,2,"Saturday, November 17, 2012 03:44:55 UTC",52.0218,-175.8938,2.3,114.50, 7,"Andreanof Islands, Aleutian Islands, Alaska"
ci,11204882,0,"Saturday, November 17, 2012 03:24:08 UTC",35.6982,-118.0773,1.7,0.10,35,"Central California"
us,c000du3g,2,"Saturday, November 17, 2012 03:11:29 UTC",-37.0015,-95.9426,4.6,10.00,53,"southeast of Easter Island"
ak,10601741,1,"Saturday, November 17, 2012 03:08:31 UTC",62.8493,-149.1351,1.9,83.70,15,"Central Alaska"
us,c000du3a,5,"Saturday, November 17, 2012 02:51:24 UTC",-15.0263,167.4260,5.7,128.40,277,"Vanuatu"
ak,10601731,2,"Saturday, November 17, 2012 02:33:37 UTC",53.2870,-166.4994,2.0,26.80, 7,"Fox Islands, Aleutian Islands, Alaska"
ak,10601716,1,"Saturday, November 17, 2012 02:05:34 UTC",63.5342,-151.2140,2.4,6.40,16,"Central Alaska"
ci,11204858,0,"Saturday, November 17, 2012 01:42:03 UTC",32.1872,-115.2830,2.9,12.70,17,"Baja California, Mexico"
ak,10601705,1,"Saturday, November 17, 2012 01:37:49 UTC",63.0893,-151.6514,1.2,19.50, 4,"Central Alaska"
hv,60432106,1,"Saturday, November 17, 2012 01:35:10 UTC",19.4287,-155.8483,2.2,11.70,21,"Island of Hawaii, Hawaii"
ak,10601695,1,"Saturday, November 17, 2012 01:07:58 UTC",63.5396,-151.2499,2.3,5.10,18,"Central Alaska"
nc,71887896,0,"Saturday, November 17, 2012 00:56:27 UTC",37.7007,-118.9063,1.0,19.80,14,"Long Valley area, California"
ak,10601685,1,"Saturday, November 17, 2012 00:50:54 UTC",62.1253,-151.3427,2.2,79.30,25,"Central Alaska"
nc,71887886,2,"Saturday, November 17, 2012 00:31:35 UTC",37.6455,-118.9543,1.0,7.00,32,"Long Valley area, California"
ak,10601656,2,"Saturday, November 17, 2012 00:08:37 UTC",64.9945,-147.3559,1.3,5.40, 9,"Central Alaska"
hv,60432096,4,"Saturday, November 17, 2012 00:06:16 UTC",19.4483,-155.2708,1.8,3.80,10,"Island of Hawaii, Hawaii"
nc,71887871,2,"Saturday, November 17, 2012 00:01:48 UTC",37.6432,-118.9525,1.3,7.40,34,"Long Valley area, California"
us,c000du1e,5,"Friday, November 16, 2012 23:55:50 UTC",52.0835,153.0557,4.2,415.40,67,"northwest of the Kuril Islands"
nc,71066179,2,"Friday, November 16, 2012 23:51:00 UTC",37.6443,-118.9520,1.3,7.30,18,"Long Valley area, California"
nn,00394091,9,"Friday, November 16, 2012 23:50:28 UTC",38.7018,-117.0283,1.9,0.20,24,"Nevada"
ak,10601642,1,"Friday, November 16, 2012 23:46:47 UTC",62.3878,-149.1582,2.3,0.00,29,"Central Alaska"
ci,11204826,0,"Friday, November 16, 2012 23:39:22 UTC",33.0038,-115.5662,1.7,12.30,33,"Southern California"
uw,60475487,1,"Friday, November 16, 2012 23:38:57 UTC",45.6833,-122.3428,1.0,0.00,11,"Washington"
ci,11204810,0,"Friday, November 16, 2012 23:29:41 UTC",33.0000,-115.5503,1.7,9.30,32,"Southern California"
hv,60432081,1,"Friday, November 16, 2012 23:03:45 UTC",19.1790,-155.7077,1.9,8.50,11,"Island of Hawaii, Hawaii"
ci,11204802,1,"Friday, November 16, 2012 23:02:31 UTC",33.6583,-116.7587,1.3,19.90,38,"Southern California"
ci,11204794,0,"Friday, November 16, 2012 23:01:49 UTC",33.0217,-116.3057,1.9,9.80,49,"Southern California"
hv,60432076,2,"Friday, November 16, 2012 22:54:19 UTC",19.1992,-155.3353,3.0,49.50,55,"Island of Hawaii, Hawaii"
ci,11204786,2,"Friday, November 16, 2012 22:41:45 UTC",36.8933,-117.4145,1.4,10.20,14,"Central California"
ci,11204778,2,"Friday, November 16, 2012 22:17:03 UTC",32.9987,-115.5652,1.5,12.20,21,"Southern California"
ci,11204762,2,"Friday, November 16, 2012 22:10:06 UTC",33.0788,-115.0020,1.9,0.00, 7,"Southern California"
ci,11204754,0,"Friday, November 16, 2012 22:05:47 UTC",32.6555,-115.8217,2.3,9.40,50,"Southern California"
nc,71887786,1,"Friday, November 16, 2012 21:55:28 UTC",38.8035,-122.8148,2.4,3.10,45,"Northern California"
uu,60005322,2,"Friday, November 16, 2012 21:37:52 UTC",44.5653,-110.7492,1.5,5.90,10,"Yellowstone National Park, Wyoming"
uw,60475442,1,"Friday, November 16, 2012 21:34:26 UTC",42.3635,-122.8295,1.5,0.00,13,"Oregon"
uw,60475432,1,"Friday, November 16, 2012 21:24:36 UTC",43.2600,-123.5988,1.7,0.00,15,"Oregon"
ak,10601475,1,"Friday, November 16, 2012 21:08:24 UTC",63.4002,-150.2249,1.7,0.00, 6,"Central Alaska"
us,c000dtwh,7,"Friday, November 16, 2012 21:06:48 UTC",12.8953,-88.7721,4.6,72.10,28,"offshore El Salvador"
ak,10601463,1,"Friday, November 16, 2012 20:37:28 UTC",59.9738,-152.9719,1.9,6.00,14,"Southern Alaska"
ak,10601458,1,"Friday, November 16, 2012 20:34:23 UTC",61.6475,-149.6769,2.6,14.80,32,"Southern Alaska"
nn,00394067,9,"Friday, November 16, 2012 20:10:40 UTC",39.7275,-119.8837,1.5,6.40,21,"Nevada"
ci,11204722,4,"Friday, November 16, 2012 19:57:12 UTC",33.0097,-115.5618,1.3,11.50,25,"Southern California"
nc,71887696,3,"Friday, November 16, 2012 19:51:51 UTC",40.3690,-125.0103,2.8,12.30,49,"offshore Northern California"
ci,11204714,2,"Friday, November 16, 2012 19:36:30 UTC",33.0167,-115.5805,1.4,14.00,14,"Southern California"
nc,71887681,0,"Friday, November 16, 2012 19:34:44 UTC",38.8268,-122.8550,1.0,2.50,14,"Northern California"
ci,11204690,2,"Friday, November 16, 2012 19:21:35 UTC",32.9653,-115.5450,1.4,12.40,17,"Southern California"
ci,11204666,2,"Friday, November 16, 2012 19:18:39 UTC",33.9433,-116.3533,1.6,7.50,79,"Southern California"
ci,11204658,1,"Friday, November 16, 2012 19:14:12 UTC",33.9458,-116.3613,2.9,6.20,116,"Southern California"
ci,11204650,0,"Friday, November 16, 2012 19:01:31 UTC",33.0477,-117.3068,1.5,15.90,11,"Gulf of Santa Catalina, California"
